"A81057","16C","","20200401","","1"
"A81057","5E1","","20010401","20130331","1"
"A81057","4QP36","","19990401","20010331","1"
"A81057","00K","","20130401","20200331","1"
"A81058","16C","","20200401","","1"
"A81058","5KM","","20020401","20130331","1"
"A81058","4DD23","","19990401","20020331","1"
"A81058","00M","","20130401","20200331","1"
"A81060","16C","","20200401","","1"
"A81060","4FC32","","19990401","20010331","1"
"A81060","5D9","","20010401","20130331","1"
"A81060","00K","","20130401","20200331","1"
"A81063","16C","","20200401","","1"
"A81063","4FC32","","19990401","20010331","1"
"A81063","5D9","","20010401","20130331","1"
"A81063","00K","","20130401","20200331","1"
"A81064","16C","","20200401","","1"
"A81064","5KM","","20020401","20130331","1"
"A81064","4DD23","","19990401","20020331","1"
"A81064","00M","","20130401","20200331","1"
"A81065","16C","","20200401","","1"
"A81065","5KM","","20020401","20060930","1"
"A81065","4DD23","","19990401","20020331","1"
"A81065","5QR","","20061001","20130331","1"
"A81065","00M","","20130401","20200331","1"
"A81066","16C","","20200401","","1"
"A81066","5E1","","20010401","20130331","1"
"A81066","4QP36","","19990401","20010331","1"
"A81066","00K","","20130401","20200331","1"
"A81067","16C","","20200401","","1"
"A81067","5E1","","20010401","20130331","1"
"A81067","4QP36","","19990401","20010331","1"
"A81067","00K","","20130401","20200331","1"
"A81070","16C","","20200401","","1"
"A81070","4FC32","","19990401","20010331","1"
"A81070","5D9","","20010401","20130331","1"
"A81070","00K","","20130401","20200331","1"
"A81602","16C","","20200401","","1"
"A81602","5E1","","20010401","20130331","1"
"A81602","4QP36","","19990401","20010331","1"
"A81602","00K","","20130401","20200331","1"
"A81608","16C","","20200401","","1"
"A81608","5E1","","20010401","20130331","1"
"A81608","4QP36","","19990401","20010331","1"
"A81608","00K","","20130401","20200331","1"
"A81609","5E1","","20010401","20130331","1"
"A81609","4QP36","","19990401","20010331","1"
"A81609","00K","","20130401","20171031","1"
"A81610","16C","","20200401","","1"
"A81610","5E1","","20010401","20130331","1"
"A81610","4QP36","","19990401","20010331","1"
"A81610","00K","","20130401","20200331","1"
"A81611","16C","","20200401","","1"
"A81611","5KM","","20020401","20130331","1"
"A81611","4DD23","","19990401","20020331","1"
"A81611","00M","","20130401","20200331","1"
"A81612","16C","","20200401","","1"
"A81612","4FC32","","19990401","20010331","1"
"A81612","5D9","","20010401","20130331","1"
"A81612","00K","","20130401","20200331","1"
"A81613","4FC32","","19990401","20010331","1"
"A81613","5D9","","20010401","20130331","1"
"A81613","00K","","20130401","20170731","1"
"A81618","16C","","20200401","","1"
"A81618","5KN","","20020401","20060930","1"
"A81618","5QR","","20061001","20130331","1"
"A81618","4XA29","","19990401","20020331","1"
"A81618","00M","","20130401","20200331","1"
"A81621","16C","","20200401","","1"
"A81621","5KM","","20020401","20130331","1"
"A81621","4DD23","","19990401","20020331","1"
"A81621","00M","","20130401","20200331","1"
"A81622","16C","","20200401","","1"
"A81622","4FC32","","19990401","20010331","1"
"A81622","5D9","","20010401","20130331","1"
"A81622","00K","","20130401","20200331","1"
"A81623","5E1","","20010401","20130331","1"
"A81623","4QP36","","19990401","20010331","1"
"A81623","00K","","20130401","20170630","1"
"A81629","16C","","20200401","","1"
"A81629","5E1","","20010401","20130331","1"
"A81629","4QP36","","19990401","20010331","1"
"A81629","00K","","20130401","20200331","1"
"A81630","16C","","20200401","20241031","1"
"A81630","5KM","","20020401","20130331","1"
"A81630","4DD23","","20010401","20020331","1"
"A81630","00M","","20130401","20200331","1"
"A81631","16C","","20200401","","1"
